metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,99.615500,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.183900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,98.565400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.518000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,102.307100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,102.307100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,103.374400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,103.374400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,114.734500,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,113.625200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,1.109300,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,134.094400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,134.094400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,134.125400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,133.562400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.563000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,141.565200,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,180.302400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,180.302400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,180.834400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,180.834400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,189.954900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,189.954900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,189.954900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,189.954900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,190.486900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,190.486900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,197.475000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,197.475000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,201.723700,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,197.475000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,197.475000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,200.666400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,200.666400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,200.666400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.716000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,200.666400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,201.198500,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.183900,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,200.666400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,207.116900,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,210.866800,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,207.150200,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,2.652600,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,206.618100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,206.618100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,3.184700,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,0.532100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,206.618100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
